# Load-mapping outcome per corpus ROM, measured 2026-08-05 over all 287.
#
# Produced by examples/probe_load_mapping via the same
# admitted_overlay_load_mappings_v1 path that raises NoUniqueAdmittedTable.
#
# The error name conflates TWO causes, which is why this file splits them:
#   ZERO_ADMITTED  admitted:0 -- no descriptor table was found at all
#   AMBIGUOUS_<n>  admitted:n -- several tables, discovery refuses to pick
#
# Totals: 26 MAPPINGS_OK, 246 ZERO_ADMITTED, 15 ambiguous.
# Ambiguity is NOT the bottleneck -- zero-admitted outnumbers it 16:1.
outcome	rom
ZERO_ADMITTED	NBA Courtside 2 featuring Kobe Bryant (USA)
ZERO_ADMITTED	NBA Hangtime (USA)
ZERO_ADMITTED	NBA Jam 2000 (USA)
ZERO_ADMITTED	NBA Jam 99 (USA)
ZERO_ADMITTED	NBA Live 2000 (USA) (En,Fr,De,Es)
ZERO_ADMITTED	NBA Live 99 (USA) (En,Fr,De,Es,It)
ZERO_ADMITTED	NBA Showtime - NBA on NBC (USA)
ZERO_ADMITTED	NBA in the Zone '98 (USA)
ZERO_ADMITTED	NBA in the Zone '99 (USA)
ZERO_ADMITTED	NBA in the Zone 2000 (USA)
ZERO_ADMITTED	NHL 99 (USA)
ZERO_ADMITTED	NHL Breakaway 98 (USA)
ZERO_ADMITTED	NHL Breakaway 99 (USA)
ZERO_ADMITTED	Namco Museum 64 (USA)
ZERO_ADMITTED	New Tetris, The (USA)
ZERO_ADMITTED	Nightmare Creatures (USA)
ZERO_ADMITTED	Nuclear Strike 64 (USA)
ZERO_ADMITTED	Olympic Hockey 98 (USA)
ZERO_ADMITTED	PGA European Tour (USA)
ZERO_ADMITTED	Paperboy (USA)
ZERO_ADMITTED	Penny Racers (USA)
ZERO_ADMITTED	Perfect Dark (Europe) (En,Fr,De,Es,It)
ZERO_ADMITTED	Pilotwings 64 (Europe) (En,Fr,De)
ZERO_ADMITTED	Pokemon Puzzle League (France)
ZERO_ADMITTED	Pokemon Stadium (France)
ZERO_ADMITTED	Pokemon Stadium 2 (France)
ZERO_ADMITTED	Polaris SnoCross (USA)
ZERO_ADMITTED	Power Rangers - Lightspeed Rescue (USA)
ZERO_ADMITTED	Powerpuff Girls, The - Chemical X-Traction (USA)
ZERO_ADMITTED	Puyo Puyo 4 - Puyo Puyon Party (Japan)
ZERO_ADMITTED	Quake 64 (USA)
ZERO_ADMITTED	Quake II (USA)
ZERO_ADMITTED	Quest 64 (USA)
ZERO_ADMITTED	RR64 - Ridge Racer 64 (USA)
ZERO_ADMITTED	Rampage - World Tour (USA)
ZERO_ADMITTED	Rampage 2 - Universal Tour (USA)
ZERO_ADMITTED	Rat Attack! (USA) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)
ZERO_ADMITTED	Razmoket, Les - La Chasse aux Tresors (France)
ZERO_ADMITTED	Razor Freestyle Scooter (USA)
ZERO_ADMITTED	Re-Volt (USA)
ZERO_ADMITTED	Ready 2 Rumble Boxing (Europe) (En,Fr,De)
ZERO_ADMITTED	Ready 2 Rumble Boxing (USA)
ZERO_ADMITTED	Resident Evil 2 (Europe) (En,Fr)
ZERO_ADMITTED	Road Rash 64 (USA)
ZERO_ADMITTED	Roadsters (USA) (En,Fr,Es)
ZERO_ADMITTED	Robotron 64 (USA)
ZERO_ADMITTED	Rocket - Robot on Wheels (USA)
ZERO_ADMITTED	Rugrats in Paris - The Movie (Europe)
ZERO_ADMITTED	Rush 2 - Extreme Racing USA (USA)
ZERO_ADMITTED	S.C.A.R.S. (USA)
ZERO_ADMITTED	San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev A)
ZERO_ADMITTED	San Francisco Rush 2049 (USA)
ZERO_ADMITTED	Scooby-Doo! - Classic Creep Capers (Europe)
ZERO_ADMITTED	Shadow Man (France)
ZERO_ADMITTED	Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)
ZERO_ADMITTED	Sin and Punishment - Successor of the Earth (Japan) [Trad-En]
ZERO_ADMITTED	Snowboard Kids (USA)
ZERO_ADMITTED	Snowboard Kids 2 (USA)
ZERO_ADMITTED	South Park (Europe) (En,Fr,Es)
ZERO_ADMITTED	South Park - Chef's Luv Shack (USA)
ZERO_ADMITTED	South Park Rally (Europe)
ZERO_ADMITTED	Space Invaders (USA)
ZERO_ADMITTED	SpaceStation Silicon Valley (USA)
ZERO_ADMITTED	Spider-Man (USA)
ZERO_ADMITTED	Star Soldier - Vanishing Earth (USA)
ZERO_ADMITTED	Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev A)
ZERO_ADMITTED	Star Wars - Shadows of the Empire (Europe)
ZERO_ADMITTED	Star Wars Episode I - Battle for Naboo (Europe)
ZERO_ADMITTED	Star Wars Episode I - Racer (Europe) (En,Fr,De)
ZERO_ADMITTED	StarCraft 64 (USA)
ZERO_ADMITTED	Starshot - Space Circus Fever (USA) (En,Fr,Es)
ZERO_ADMITTED	Stunt Racer 64 (USA)
