# Executable-code span locality per corpus ROM, measured 2026-08-05.
#
# Produced by examples/probe_code_span_locality.rs. Clusters JR RA
# (0x03e00008) sites into spans, splitting on gaps > 0x40000, and reports
# what fraction of them fall in the largest span.
#
#   SINGLE_BANK          >=95% in one span  232 ROMs
#   MOSTLY_SINGLE_BANK   >=80% in one span   23 ROMs
#   MULTI_SPAN           otherwise           32 ROMs
#
# WHY THIS IS WORTH RECORDING ONCE: DiscoveryStrategy::BootBankOnly
# (lib.rs:885) is a single verdict covering both 'this ROM has no overlays,
# nothing to find' and 'this ROM has overlays we failed to find'. This is a
# PERMANENT property of the ROM, so it separates the two:
#
#   NO_CANDIDATES and single/mostly-single bank   208  <- COMPLETE
#   NO_CANDIDATES and genuinely MULTI_SPAN         21  <- real misses
#
# The remaining overlay-discovery gap is therefore ~21 ROMs, not 229.
# Cross-check against corpus-zero-admitted-cause.tsv reproduces this.
class	rom	detail
SINGLE_BANK	Dr. Mario 64 (USA)	jr_ra=276 spans=1 concentration=1.00 largest=[0x878,0xed88)
SINGLE_BANK	Dragon Sword 64 (USA) (Proto)	jr_ra=1654 spans=1 concentration=1.00 largest=[0x878,0xdcb84)
SINGLE_BANK	Dual Heroes (USA)	jr_ra=1706 spans=1 concentration=1.00 largest=[0x878,0x13baa4)
SINGLE_BANK	Duke Nukem - Zero Hour (France)	jr_ra=1539 spans=1 concentration=1.00 largest=[0x878,0xf4bcc)
SINGLE_BANK	Duke Nukem 64 (France)	jr_ra=1145 spans=1 concentration=1.00 largest=[0x878,0x884f4)
SINGLE_BANK	ECW Hardcore Revolution (USA)	jr_ra=15 spans=1 concentration=1.00 largest=[0x878,0x1644)
SINGLE_BANK	Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)	jr_ra=1358 spans=1 concentration=1.00 largest=[0x878,0xa5b90)
SINGLE_BANK	Excitebike 64 (USA) (Rev A)	jr_ra=211 spans=1 concentration=1.00 largest=[0x86c,0x3ae6c)
SINGLE_BANK	Extreme-G (USA)	jr_ra=8 spans=1 concentration=1.00 largest=[0x878,0x123c)
SINGLE_BANK	F-1 World Grand Prix (France)	jr_ra=771 spans=2 concentration=0.99 largest=[0x878,0xa0568)
SINGLE_BANK	F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	jr_ra=761 spans=2 concentration=1.00 largest=[0x878,0x8645c)
SINGLE_BANK	F-Zero X (USA)	jr_ra=2342 spans=2 concentration=1.00 largest=[0x8b0,0x145b64)
SINGLE_BANK	F1 Pole Position 64 (USA) (En,Fr,De)	jr_ra=2091 spans=1 concentration=1.00 largest=[0x878,0x97844)
SINGLE_BANK	F1 Racing Championship (Europe) (En,Fr,De,Es,It)	jr_ra=1151 spans=1 concentration=1.00 largest=[0x878,0x3b154)
SINGLE_BANK	FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)	jr_ra=74 spans=1 concentration=1.00 largest=[0x878,0x4bb4)
SINGLE_BANK	FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)	jr_ra=277 spans=3 concentration=0.99 largest=[0x878,0x133ac)
SINGLE_BANK	FIFA Soccer 64 (USA) (En,Fr,De)	jr_ra=72 spans=1 concentration=1.00 largest=[0x878,0x4854)
SINGLE_BANK	Fighter Destiny 2 (USA)	jr_ra=1781 spans=1 concentration=1.00 largest=[0x878,0x13b7b8)
SINGLE_BANK	Fighters Destiny (USA)	jr_ra=1648 spans=1 concentration=1.00 largest=[0x878,0x118978)
SINGLE_BANK	Fighting Force 64 (USA)	jr_ra=1599 spans=1 concentration=1.00 largest=[0x878,0xa60e4)
SINGLE_BANK	Flying Dragon (USA)	jr_ra=2475 spans=2 concentration=0.98 largest=[0x878,0x10042c)
SINGLE_BANK	Forsaken 64 (USA)	jr_ra=471 spans=2 concentration=0.99 largest=[0x878,0x22c64)
SINGLE_BANK	Fox Sports College Hoops '99 (USA)	jr_ra=1909 spans=1 concentration=1.00 largest=[0x878,0x8df14)
SINGLE_BANK	Gauntlet Legends (Europe)	jr_ra=20 spans=1 concentration=1.00 largest=[0x878,0x295c)
SINGLE_BANK	Gex 3 - Deep Cover Gecko (Europe) (Fr,De)	jr_ra=5813 spans=1 concentration=1.00 largest=[0x878,0x2518d4)
SINGLE_BANK	Gex 64 - Enter the Gecko (Europe)	jr_ra=2570 spans=1 concentration=1.00 largest=[0x878,0xeee88)
SINGLE_BANK	Glover (USA)	jr_ra=1269 spans=1 concentration=1.00 largest=[0x878,0xd51c4)
SINGLE_BANK	Goemon's Great Adventure (USA)	jr_ra=729 spans=3 concentration=0.99 largest=[0x878,0x26624)
SINGLE_BANK	Harvest Moon 64 (USA)	jr_ra=2006 spans=1 concentration=1.00 largest=[0x878,0xeda50)
SINGLE_BANK	Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)	jr_ra=1515 spans=1 concentration=1.00 largest=[0x878,0xa9844)
SINGLE_BANK	Hexen (France)	jr_ra=549 spans=1 concentration=1.00 largest=[0x878,0x256ec)
SINGLE_BANK	Hot Wheels - Turbo Racing (USA)	jr_ra=1955 spans=1 concentration=1.00 largest=[0x878,0x90480)
SINGLE_BANK	Hydro Thunder (USA)	jr_ra=2453 spans=1 concentration=1.00 largest=[0x878,0xbc5e4)
SINGLE_BANK	Iggy's Reckin' Balls (USA)	jr_ra=20 spans=1 concentration=1.00 largest=[0x878,0x1f38)
SINGLE_BANK	In-Fisherman - Bass Hunter 64 (USA)	jr_ra=1332 spans=2 concentration=1.00 largest=[0x878,0x6cfa8)
SINGLE_BANK	Indiana Jones and the Infernal Machine (USA)	jr_ra=2796 spans=1 concentration=1.00 largest=[0x878,0x1025d8)
SINGLE_BANK	International Track & Field 2000 (USA)	jr_ra=821 spans=1 concentration=1.00 largest=[0x878,0x37eb4)
SINGLE_BANK	Ken Griffey Jr.'s Slugfest (USA)	jr_ra=102 spans=3 concentration=0.95 largest=[0x86c,0x689c)
SINGLE_BANK	Killer Instinct Gold (USA) (Rev B)	jr_ra=124 spans=1 concentration=1.00 largest=[0x878,0x7150)
SINGLE_BANK	Kirby 64 - The Crystal Shards (Europe)	jr_ra=7181 spans=1 concentration=1.00 largest=[0x86c,0x250554)
SINGLE_BANK	Knockout Kings 2000 (USA)	jr_ra=897 spans=1 concentration=1.00 largest=[0x878,0x2b908)
SINGLE_BANK	Kobe Bryant's NBA Courtside (USA)	jr_ra=974 spans=2 concentration=0.98 largest=[0x649ec,0xdf9b0)
SINGLE_BANK	LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	jr_ra=6999 spans=1 concentration=1.00 largest=[0x878,0x144a38)
SINGLE_BANK	Lode Runner 3-D (USA)	jr_ra=2078 spans=2 concentration=1.00 largest=[0x878,0x9c3a4)
SINGLE_BANK	Lylat Wars (Europe) (En,Fr,De)	jr_ra=1830 spans=2 concentration=0.99 largest=[0x854,0xc49e8)
SINGLE_BANK	MRC - Multi Racing Championship (USA)	jr_ra=1608 spans=2 concentration=0.99 largest=[0x878,0x132ebc)
SINGLE_BANK	Mace - The Dark Age (USA)	jr_ra=2502 spans=1 concentration=1.00 largest=[0x878,0x7d270)
SINGLE_BANK	Madden Football 64 (USA)	jr_ra=11 spans=1 concentration=1.00 largest=[0x878,0x1280)
SINGLE_BANK	Magical Tetris Challenge (USA)	jr_ra=1326 spans=1 concentration=1.00 largest=[0x878,0x79d60)
SINGLE_BANK	Mario Golf (Europe)	jr_ra=2089 spans=1 concentration=1.00 largest=[0x878,0x17183c)
SINGLE_BANK	Mario Kart 64 (Europe) (Rev A)	jr_ra=3552 spans=1 concentration=1.00 largest=[0x878,0x128594)
SINGLE_BANK	Mario Party (Europe) (En,Fr,De)	jr_ra=7346 spans=1 concentration=1.00 largest=[0x878,0x335820)
SINGLE_BANK	Mario Party 2 (Europe) (En,Fr,De,Es,It)	jr_ra=8616 spans=1 concentration=1.00 largest=[0x878,0x41f1bc)
SINGLE_BANK	Mario Party 3 (Europe) (En,Fr,De,Es)	jr_ra=11794 spans=1 concentration=1.00 largest=[0x878,0x559da0)
SINGLE_BANK	Mario Tennis (Europe)	jr_ra=10 spans=1 concentration=1.00 largest=[0x878,0x133c)
SINGLE_BANK	Mega Man 64 (USA)	jr_ra=10221 spans=1 concentration=1.00 largest=[0x878,0x2cabe4)
SINGLE_BANK	Mia Hamm Soccer 64 (USA) (En,Es)	jr_ra=2270 spans=1 concentration=1.00 largest=[0x878,0x1003ec)
SINGLE_BANK	Micro Machines 64 Turbo (USA)	jr_ra=2080 spans=1 concentration=1.00 largest=[0x878,0xd58cc)
SINGLE_BANK	Midway's Greatest Arcade Hits - Volume 1 (USA)	jr_ra=835 spans=1 concentration=1.00 largest=[0x878,0x685f4)
SINGLE_BANK	Mike Piazza's StrikeZone (USA)	jr_ra=2424 spans=1 concentration=1.00 largest=[0x878,0xac3c4)
SINGLE_BANK	Milo's Astro Lanes (USA)	jr_ra=1661 spans=1 concentration=1.00 largest=[0x878,0x6d374)
SINGLE_BANK	Mission Impossible (France)	jr_ra=1719 spans=1 concentration=1.00 largest=[0x878,0x864c4)
SINGLE_BANK	Monaco Grand Prix (USA)	jr_ra=1214 spans=2 concentration=1.00 largest=[0x878,0x3c288)
SINGLE_BANK	Monster Truck Madness 64 (USA)	jr_ra=259 spans=1 concentration=1.00 largest=[0x878,0x73350)
SINGLE_BANK	Mortal Kombat 4 (USA)	jr_ra=5268 spans=1 concentration=1.00 largest=[0x878,0xf7358)
SINGLE_BANK	Mortal Kombat Mythologies - Sub-Zero (USA)	jr_ra=2521 spans=1 concentration=1.00 largest=[0x878,0xe5e10)
SINGLE_BANK	Mortal Kombat Trilogy (USA) (Rev A)	jr_ra=4100 spans=3 concentration=0.96 largest=[0x878,0xa0754)
SINGLE_BANK	Ms. Pac-Man - Maze Madness (USA)	jr_ra=11 spans=1 concentration=1.00 largest=[0x878,0x12a0)
SINGLE_BANK	NASCAR 2000 (USA)	jr_ra=1673 spans=1 concentration=1.00 largest=[0x878,0xe8820)
SINGLE_BANK	NASCAR 99 (USA)	jr_ra=1612 spans=1 concentration=1.00 largest=[0x878,0xe32e0)
SINGLE_BANK	NBA Courtside 2 featuring Kobe Bryant (USA)	jr_ra=2263 spans=1 concentration=1.00 largest=[0x878,0xf656c)
SINGLE_BANK	NBA Hangtime (USA)	jr_ra=2547 spans=1 concentration=1.00 largest=[0x878,0x7a2d4)
SINGLE_BANK	NBA Jam 99 (USA)	jr_ra=90 spans=1 concentration=1.00 largest=[0x878,0xb26fc)
SINGLE_BANK	NBA Live 2000 (USA) (En,Fr,De,Es)	jr_ra=2358 spans=2 concentration=1.00 largest=[0x878,0xccf60)
SINGLE_BANK	NBA Live 99 (USA) (En,Fr,De,Es,It)	jr_ra=3734 spans=1 concentration=1.00 largest=[0x878,0x12bc50)
SINGLE_BANK	NBA Showtime - NBA on NBC (USA)	jr_ra=1939 spans=1 concentration=1.00 largest=[0x878,0x100b58)
SINGLE_BANK	NBA in the Zone '98 (USA)	jr_ra=3404 spans=2 concentration=0.98 largest=[0x878,0xdc8b4)
SINGLE_BANK	NHL 99 (USA)	jr_ra=39 spans=1 concentration=1.00 largest=[0x878,0x5220)
