# Source: aki-recomp/games/NWXE/syms/dump.toml
# Sections: entry and main_1050 (resident ROM 0x1000..0x4C0C0, VA 0x80000400..0x8004B4C0)
# Generated there by aki_profile.gen_symbols from games/NWXE/disasm/asm/1000.s and 1050.s
# Canonical ROM: NWXE, MD5 d9030ca30e4d1af805acce1bfed988cc, SHA1 442d417a52ed672ca1a47e7261a5414debb1e27a
name,va_start,size
func_8002D838,8002d838,24
func_8002D85C,8002d85c,280
func_8002DADC,8002dadc,84
func_8002DB60,8002db60,1c
func_8002DB80,8002db80,140
func_8002DCC0,8002dcc0,30
func_8002DCF0,8002dcf0,1ec
func_8002DEDC,8002dedc,c0
func_8002DFA0,8002dfa0,374
func_8002E314,8002e314,14
func_8002E328,8002e328,1f0
func_8002E518,8002e518,218
func_8002E730,8002e730,170
func_8002E8A0,8002e8a0,170
func_8002EA10,8002ea10,9c
func_8002EAAC,8002eaac,8c
func_8002EB40,8002eb40,a8
func_8002EBE8,8002ebe8,28
func_8002EC10,8002ec10,2c
func_8002EC3C,8002ec3c,30
func_8002EC6C,8002ec6c,20
func_8002EC8C,8002ec8c,30
func_8002ECC0,8002ecc0,34
func_8002ED00,8002ed00,48
func_8002ED50,8002ed50,34
func_8002ED90,8002ed90,2cc
func_8002F05C,8002f05c,1b0
func_8002F20C,8002f20c,2c
func_8002F238,8002f238,18
func_8002F250,8002f250,54
func_8002F2A4,8002f2a4,40
func_8002F2E4,8002f2e4,48
func_8002F32C,8002f32c,4c
func_8002F378,8002f378,54
func_8002F3D0,8002f3d0,8
func_8002F3E0,8002f3e0,94
func_8002F480,8002f480,b0
func_8002F530,8002f530,74
func_8002F5B0,8002f5b0,74
osWritebackDCacheAll,8002f630,28
func_8002F660,8002f660,80
func_8002F6E0,8002f6e0,20
func_8002F700,8002f700,88
func_8002F788,8002f788,9c
func_8002F824,8002f824,b8
func_8002F8E0,8002f8e0,19c
func_8002FA7C,8002fa7c,b4
func_8002FB30,8002fb30,bc
func_8002FBF0,8002fbf0,60
osVirtualToPhysical,8002fc50,54
func_8002FCB0,8002fcb0,8
func_8002FCC0,8002fcc0,1cc
func_8002FE8C,8002fe8c,1d4
func_80030060,80030060,150
func_800301B0,800301b0,380
func_80030530,80030530,384
func_800308C0,800308c0,130
func_800309F0,800309f0,14c
func_80030B40,80030b40,1b0
func_80030CF0,80030cf0,1c8
func_80030EC0,80030ec0,1d8
func_80031098,80031098,1e0
func_80031280,80031280,2c
func_800312B0,800312b0,1a0
func_80031450,80031450,31c
func_80031770,80031770,a8
func_80031818,80031818,14
func_8003182C,8003182c,14
osCreateMesgQueue,80031840,24
func_80031870,80031870,134
osRecvMesg,800319b0,124
osSendMesg,80031ae0,130
osSetEventMesg,80031c10,ac
func_80031CC0,80031cc0,20c
func_80031ECC,80031ecc,2c
func_80031F00,80031f00,1c
osSpTaskYielded,80031f20,4c
__osSiRawStartDma,80031f70,a4
func_80032020,80032020,54
func_80032074,80032074,6c
func_800320E0,800320e0,28
func_80032110,80032110,6c
func_8003217C,8003217c,7c
osCreateThread,80032200,d0
osGetThreadPri,800322d0,18
osSetThreadPri,800322f0,c8
osStartThread,800323c0,118
func_800324E0,800324e0,34
func_80032520,80032520,48
func_80032570,80032570,84
osSetTimer,80032600,12c
func_80032730,80032730,54
func_80032784,80032784,13c
func_800328C0,800328c0,80
func_80032940,80032940,108
func_80032A50,80032a50,b8
func_80032B10,80032b10,38
func_80032B50,80032b50,38
osCreateViManager,80032b90,1a0
func_80032D30,80032d30,178
func_80032EA8,80032ea8,20
osViSetEvent,80032ed0,58
osViSetMode,80032f30,4c
osViSetSpecialFeatures,80032f80,164
osViSetYScale,800330f0,44
osViSwapBuffer,80033140,44
func_80033190,80033190,308
osViBlack,800334a0,5c
func_80033500,80033500,48
func_80033560,80033560,64
func_800335E0,800335e0,f0
func_800336E0,800336e0,48
func_80033740,80033740,54
func_800337A0,800337a0,48
func_80033800,80033800,ac
func_800338B0,800338b0,144
func_800339F4,800339f4,248
func_80033C40,80033c40,30c
func_80033F4C,80033f4c,118
func_80034070,80034070,1ac
func_8003421C,8003421c,68
func_80034290,80034290,440
func_800346D0,800346d0,194
func_80034870,80034870,1b8
func_80034A30,80034a30,17c
func_80034BAC,80034bac,a4
func_80034C50,80034c50,b4
func_80034D10,80034d10,10c
func_80034E20,80034e20,100
func_80034F20,80034f20,1f8
func_80035118,80035118,cc
func_800351F0,800351f0,58
func_80035250,80035250,f0
func_80035340,80035340,94
func_800353D4,800353d4,80
func_80035460,80035460,64
func_800354D0,800354d0,34
func_80035504,80035504,44
func_80035548,80035548,2ec
func_80035834,80035834,164
func_80035998,80035998,1cc
func_80035B64,80035b64,b8
func_80035C1C,80035c1c,338
func_80035F60,80035f60,1e8
func_80036150,80036150,204
func_800363C0,800363c0,1c
func_800363E0,800363e0,b8
osInitialize,80036498,2d8
func_80036770,80036770,8
func_80036780,80036780,58c
func_80036D0C,80036d0c,f0
func_80036DFC,80036dfc,108
func_80036F04,80036f04,48
func_80036F4C,80036f4c,10
func_80036F5C,80036f5c,8
func_80036F64,80036f64,188
func_800370F0,800370f0,40
func_80037130,80037130,48
func_80037180,80037180,d0
func_80037250,80037250,20
func_80037270,80037270,168
func_800373E0,800373e0,164
func_80037550,80037550,14
func_80037570,80037570,110
func_80037680,80037680,c
func_80037690,80037690,c
func_800376A0,800376a0,c
func_800376B0,800376b0,c
func_800376C0,800376c0,10
func_800376D0,800376d0,10
func_800376E0,800376e0,10
func_800376F0,800376f0,18
func_80037710,80037710,10
func_80037720,80037720,10
func_80037730,80037730,30
func_80037760,80037760,8c
__osSiRawReadIo,800377f0,4c
__osSiRawWriteIo,80037840,48
func_80037890,80037890,d8
func_80037970,80037970,58
osUnmapTLBAll,800379d0,44
func_80037A20,80037a20,104
func_80037B30,80037b30,c
func_80037B40,80037b40,460
func_80037FA0,80037fa0,158
func_800380F8,800380f8,168
__osSiDeviceBusy,80038260,18
func_80038284,80038284,34
func_800382B8,800382b8,fc
func_800383B4,800383b4,c8
func_80038480,80038480,1d0
func_80038650,80038650,ec
func_80038740,80038740,f4
func_80038840,80038840,8
func_80038848,80038848,c4
func_80038AD8,80038ad8,34
func_80038B0C,80038b0c,58
func_80038B64,80038b64,74
func_80038BD8,80038bd8,3c
func_80038C14,80038c14,18
func_8003A4CC,8003a4cc,24
func_8003B86C,8003b86c,24
func_8003CCB4,8003ccb4,8
func_80048E88,80048e88,4
func_80048F2C,80048f2c,8
func_80048FB8,80048fb8,8
